Gene,GSM461348,GSM461349,GSM461350,GSM1634925,GSM1634926,GSM1634927,GSM1634928,GSM1634937,GSM1634938,GSM1634939,GSM1701025,GSM1701026,GSM1701027,GSM1701038,GSM1701039,GSM1701040
LOC285097,9.09609,5.51538,5.55229,6.377498,9.686327,10.12432,7.189699,9.881752,9.330112,10.40326,1.70704,1.62316,3.6741,2.57986,3.03415,2.33444
NDUFAF6,14.7912,10.7752,2.84079,7.50027,8.629753,9.461244,6.620193,9.029644,6.717201,7.91233,2.13536,2.86076,1.91146,3.30241,2.0899,3.30263
GPRIN3,5.64261,4.35732,7.83039,8.054017,6.212448,6.34761,8.039177,7.570274,6.062451,6.160447,1.36098,1.53008,1.34549,1.92304,1.78417,1.51111
FBXL13,14.1579,15.2467,14.1506,7.544726,5.797339,7.712566,7.613597,6.705761,6.792593,8.669164,3.10162,3.5045,3.02055,3.30241,5.36681,3.04325
DLEU2,14.7058,19.8706,13.478,4.309603,2.980614,3.923074,4.68487,9.835915,10.6121,6.586957,2.21299,2.98167,2.37941,4.63803,3.59499,2.77322
DSG2-AS1,11.4826,13.8529,18.4914,3.492073,2.243608,4.591523,3.461196,7.190152,7.65382,7.272564,1.8951,1.87517,1.88094,3.45752,1.57043,2.31076
APCDD1L-DT,14.2214,14.7658,18.2858,5.669047,4.291483,5.207498,6.538222,4.273565,4.404682,3.934409,1.63597,1.67741,1.81363,1.48238,1.77845,1.31783
LINC01990,3.35116,4.25126,5.83098,7.240536,10.89137,9.867405,6.838151,9.832359,10.43179,10.42101,1.40579,1.45534,1.63726,1.66339,1.8106,1.65863
C5orf47,7.69425,17.9631,27.1213,8.236234,11.16815,10.09824,8.657104,9.58003,10.12991,8.351465,1.58166,1.62316,1.86695,2.38744,1.62156,1.778
SLC26A4-AS1,13.3392,19.2834,15.5655,5.07134,9.94498,10.59533,4.875926,10.27184,10.96139,11.08286,1.80592,1.69909,2.19528,2.7372,1.6613,1.96543
PDCD4,9.43388,14.346,8.93159,5.595277,10.55754,10.35434,6.176394,10.89717,10.83299,11.06107,1.8962,1.76916,3.19229,2.93826,2.63005,2.63151
C11orf87,3.47527,8.44987,10.4198,11.24462,12.40931,11.90656,10.81607,12.17617,12.01192,11.67313,1.57869,1.56001,1.5762,1.62925,1.91593,1.6849
MEIOC,10.5444,12.6673,5.77989,3.58285,9.367607,3.203359,3.849997,6.578332,6.114371,6.876387,1.69796,1.66282,1.60561,2.22461,1.7818,1.54406
